Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Lucas Abascia,ar ARG,DF,cl Ñublense,27,1995,1.3,0,0,0,1,1,0,0,4,3,0,0,0,8,5,2,71.4,Matches
2,Miguel Acosta,ar ARG,GK,ar Arg Juniors,21,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
3,Luiz Adriano,br BRA,FW,br Internacional,35,1987,4.4,0,0,0,3,5,4,0,0,1,0,0,0,7,3,17,15.0,Matches
4,Adson,br BRA,"MF,FW",br Corinthians,22,2000,3.1,0,0,0,0,8,0,6,1,4,0,0,0,17,0,5,0.0,Matches
5,Luis Advíncula,pe PER,"DF,FW",ar Boca Juniors,32,1990,12.1,2,0,0,7,17,1,37,5,14,0,0,0,62,13,11,54.2,Matches
6,Carlos Aguinaga,pe PER,MF,pe Melgar,20,2002,0.3,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,100.0,Matches
7,Darío Aimar,ec ECU,DF,ec SD Aucas,28,1995,1.2,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0.0,Matches
8,Kevin Aladesanmi,co COL,"MF,FW",co Pereira,24,1998,0.7,0,0,0,4,0,2,0,1,0,0,0,0,7,7,6,53.8,Matches
9,Jostin Alarcón,pe PER,MF,pe Sporting Cristal,20,2002,2.3,0,0,0,5,4,0,2,2,3,0,0,0,10,0,1,0.0,Matches
10,Yuri Alberto,br BRA,FW,br Corinthians,21,2001,4.5,1,0,0,4,1,7,1,0,2,0,0,0,9,6,10,37.5,Matches
11,Adrián Alcaraz,py PAR,FW,py Libertad,23,1999,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,5,28.6,Matches
12,Antolín Alcaraz,py PAR,DF,py Olimpia,40,1982,1.1,0,0,0,0,0,0,0,2,0,0,0,0,9,3,2,60.0,Matches
13,Jordy Alcivar,ec ECU,MF,ec Independiente,23,1999,5.2,0,0,0,1,7,1,16,6,3,0,0,0,33,2,5,28.6,Matches
14,Christian Alemán,ec ECU,DF,ec SD Aucas,26,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
15,Alexandre Alemão,br BRA,FW,br Internacional,24,1998,1.8,0,0,0,1,3,0,1,0,2,0,0,0,7,6,5,54.5,Matches
16,Jhonny Alexander Vásquez,co COL,"MF,DF",co Pereira,35,1987,6.7,3,0,0,6,8,1,0,8,6,0,1,0,39,8,5,61.5,Matches
17,Alexsander,br BRA,MF,br Fluminense,19,2003,4.5,1,0,0,10,6,0,4,6,7,0,0,0,24,1,4,20.0,Matches
18,Carmelo Algarañaz,bo BOL,"FW,MF",bo Bolívar,27,1996,2.2,0,0,0,5,2,0,0,1,1,0,0,0,4,0,4,0.0,Matches
19,Rodrigo Aliendro,ar ARG,MF,ar River Plate,31,1991,7.8,1,0,0,6,21,1,1,16,14,0,0,0,62,14,18,43.8,Matches
20,Allan,br BRA,MF,br Flamengo,25,1997,1.0,1,0,0,1,2,0,0,2,0,0,0,0,4,2,2,50.0,Matches
21,Christian Almeida,uy URU,DF,uy Nacional,33,1989,1.3,0,0,0,2,1,0,1,3,1,0,0,0,7,5,2,71.4,Matches
22,Agustín Almendra,ar ARG,MF,ar Racing Club,22,2000,0.6,1,0,0,1,3,0,0,0,1,0,0,0,5,1,1,50.0,Matches
23,Jaime Alvarado,co COL,MF,co Independiente,23,1999,5.7,2,0,0,7,4,0,2,5,9,0,0,0,58,7,6,53.8,Matches
24,Pedro Álvarez,py PAR,"DF,MF",py Cerro Porteño,21,2001,1.4,0,0,0,2,0,0,0,1,1,0,1,0,5,1,3,25.0,Matches
25,Iván Anderson,pa PAN,"DF,MF",ve Monagas,25,1997,5.0,1,0,0,13,4,1,14,5,7,0,0,0,38,10,9,52.6,Matches
26,Andrés Andrade,co COL,"FW,MF",pe Alianza Lima,33,1989,2.0,2,0,0,8,4,0,9,0,2,0,1,0,9,0,1,0.0,Matches
27,André,br BRA,MF,br Fluminense,21,2001,12.7,2,0,0,19,25,0,1,16,26,0,1,0,107,5,4,55.6,Matches
28,Carlos Andrés Ramírez,co COL,DF,co Pereira,34,1988,6.6,2,0,0,1,3,0,7,5,3,0,0,0,18,8,6,57.1,Matches
29,Tomas Ángel,co COL,"FW,MF",co Nacional,19,2003,2.6,0,0,0,1,1,1,0,1,0,0,0,0,2,0,3,0.0,Matches
30,Miguel Ángel Torrén,ar ARG,DF,ar Arg Juniors,34,1988,4.8,0,0,0,3,3,0,1,5,3,0,0,0,36,4,3,57.1,Matches
31,Wilker Ángel,ve VEN,DF,ec SD Aucas,29,1993,3.8,1,0,0,6,2,0,0,3,4,0,0,1,13,4,3,57.1,Matches
32,Álvaro Angulo,co COL,DF,co Nacional,25,1997,2.2,0,0,0,1,1,0,5,6,1,0,0,0,9,1,2,33.3,Matches
33,Larry Angulo,co COL,MF,co Pereira,27,1995,2.7,2,0,0,5,2,1,2,3,6,0,0,0,9,2,2,50.0,Matches
34,Luis Annese,ve VEN,"FW,MF",ve Metropolitanos,30,1992,0.2,1,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0.0,Matches
35,Irwin Antón,ve VEN,MF,ve Metropolitanos,35,1988,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
36,Mateo Antoni,uy URU,"DF,MF",uy Liverpool,19,2003,1.3,0,0,0,0,0,0,0,2,1,0,0,0,3,1,2,33.3,Matches
37,Claudio Aquino,ar ARG,MF,py Cerro Porteño,31,1991,5.6,1,0,0,7,18,1,28,1,11,0,0,0,29,2,2,50.0,Matches
38,Guilherme Arana,br BRA,DF,br Atlético Mineiro,25,1997,3.3,1,0,0,3,3,0,7,3,2,0,0,0,24,7,4,63.6,Matches
39,Charles Aránguiz,cl CHI,MF,br Internacional,33,1989,4.8,2,0,0,4,6,0,3,4,8,0,0,0,34,2,4,33.3,Matches
40,Pablo Aránguiz,cl CHI,"FW,MF",cl Ñublense,25,1997,2.2,2,0,0,3,5,3,8,2,1,0,0,0,7,1,3,25.0,Matches
41,Paul Arano,bo BOL,MF,bo The Strongest,27,1995,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
