Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Teresa Abelleira,MF,es Spain,23,2000,6.7,0,0,0,9,10,0,55,9,10,0,0,0,70,28,14,66.7,Matches
2,Deborah Abiodun,MF,ng Nigeria,19,2003,1.0,0,1,0,2,0,0,0,1,5,0,0,0,11,1,2,33.3,Matches
3,Adriana,MF,br Brazil,26,1996,2.9,0,0,0,0,4,0,7,1,3,0,0,0,21,4,2,66.7,Matches
4,Lily Agg,MF,ie Rep. of Ireland,29,1993,1.2,0,0,0,4,3,0,0,1,1,0,0,0,11,3,4,42.9,Matches
5,Eseosa Aigbogun,DF,ch Switzerland,30,1993,3.5,0,0,0,4,1,1,8,1,7,0,0,0,30,2,6,25.0,Matches
6,Rasheedat Ajibade,FW,ng Nigeria,23,1999,3.3,0,0,0,4,3,0,21,3,4,0,0,0,20,6,1,85.7,Matches
7,Michelle Alozie,DF,ng Nigeria,26,1997,4.3,1,0,0,5,3,0,7,3,5,0,0,0,18,1,8,11.1,Matches
8,Katherine Alvarado,MF,cr Costa Rica,32,1991,3.0,1,0,0,3,2,0,8,5,3,0,1,0,21,2,4,33.3,Matches
9,Lúcia Alves,DF,pt Portugal,25,1997,1.1,0,0,0,4,3,0,4,1,4,0,0,0,8,2,0,100.0,Matches
10,Catarina Amado,DF,pt Portugal,23,1999,1.8,1,0,0,2,1,0,1,4,6,0,0,0,9,1,0,100.0,Matches
11,Salma Amani,FW,ma Morocco,33,1989,1.2,0,0,0,3,0,0,0,0,3,0,0,0,5,1,7,12.5,Matches
12,Jonna Andersson,DF,se Sweden,30,1993,6.3,0,0,0,7,2,0,33,8,3,0,0,0,36,4,11,26.7,Matches
13,Lady Andrade,FW,co Colombia,31,1992,0.6,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,,Matches
14,Ivana Andrés,DF,es Spain,28,1994,2.7,0,0,0,2,0,0,0,1,0,0,0,0,14,4,4,50.0,Matches
15,Andressa,FW,br Brazil,30,1992,0.4,0,0,0,0,1,0,4,0,1,0,0,0,2,1,3,25.0,Matches
16,Filippa Angeldahl,MF,se Sweden,25,1997,5.8,0,0,0,13,6,0,4,7,10,0,0,0,49,4,9,30.8,Matches
17,Nguyễn Thị Mỹ Anh,"DF,MF",vn Vietnam,28,1994,1.0,0,0,0,0,1,0,3,0,2,0,0,0,6,1,1,50.0,Matches
18,Tahnai Annis,DF,ph Philippines,33,1989,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
19,Antônia,DF,br Brazil,29,1994,2.5,0,0,0,4,1,0,10,6,6,0,0,0,16,3,1,75.0,Matches
20,Nicole Anyomi,FW,de Germany,23,2000,0.5,1,0,0,1,0,0,2,0,1,0,0,0,6,0,1,0.0,Matches
21,Carolina Arias,DF,co Colombia,32,1990,4.1,1,0,0,2,2,2,2,7,4,0,0,0,37,3,5,37.5,Matches
22,Daniela Arias,DF,co Colombia,28,1994,5.0,1,0,0,6,1,0,0,5,12,0,1,0,29,16,9,64.0,Matches
23,Mackenzie Arnold,GK,au Australia,29,1994,7.3,1,0,0,0,3,0,0,0,0,0,0,0,6,3,0,100.0,Matches
24,Ary Borges,MF,br Brazil,23,1999,2.3,0,0,0,0,6,0,7,0,4,0,0,0,13,5,5,50.0,Matches
25,Kosovare Asllani,MF,se Sweden,33,1989,5.1,1,0,0,11,8,0,17,2,7,0,0,0,32,2,11,15.4,Matches
26,Viviane Asseyi,"FW,MF",fr France,29,1993,0.5,0,0,0,2,1,1,1,0,4,0,0,0,4,1,1,50.0,Matches
27,Izzy Atkinson,"MF,DF",ie Rep. of Ireland,21,2001,0.3,0,0,0,1,0,0,3,1,0,0,0,0,3,0,0,,Matches
28,Rosella Ayane,FW,ma Morocco,27,1996,1.5,0,0,0,2,2,2,0,0,0,0,0,0,7,1,2,33.3,Matches
29,Halimatu Ayinde,MF,ng Nigeria,28,1995,2.8,0,0,0,4,4,0,0,2,6,0,0,0,15,2,3,40.0,Matches
30,Selma Bacha,MF,fr France,22,2000,3.8,0,0,0,2,10,0,36,4,8,0,0,0,30,3,0,100.0,Matches
31,Ramona Bachmann,"MF,FW",ch Switzerland,32,1990,3.7,1,0,0,6,4,0,10,0,4,0,0,0,16,1,3,25.0,Matches
32,Najat Badri,MF,ma Morocco,35,1988,0.2,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,,Matches
33,Jill Baijings,FW,nl Netherlands,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
34,Yenith Bailey,GK,pa Panama,22,2001,3.0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,100.0,Matches
35,Stine Ballisager Pedersen,DF,dk Denmark,29,1994,2.8,0,0,0,2,0,0,0,2,2,0,0,0,20,5,3,62.5,Matches
36,Carina Baltrip-Reyes,DF,pa Panama,24,1998,3.0,0,0,0,0,0,0,0,5,5,0,0,0,12,3,3,50.0,Matches
37,Barbra Banda,FW,zm Zambia,23,2000,3.0,1,0,0,6,5,3,7,0,3,1,0,0,10,6,4,60.0,Matches
38,Susan Banda,MF,zm Zambia,28,1995,2.4,0,0,0,5,0,0,5,1,3,0,0,0,18,2,5,28.6,Matches
39,Estefanía Banini,"MF,FW",ar Argentina,32,1990,3.0,0,0,0,1,7,0,4,2,3,0,0,0,26,0,2,0.0,Matches
40,Alicia Barker,DF,ph Philippines,25,1998,2.4,0,0,0,1,1,0,1,6,2,0,0,1,8,2,2,50.0,Matches
41,Amber Barrett,FW,ie Rep. of Ireland,27,1996,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
42,Elisa Bartoli,DF,it Italy,32,1991,0.3,0,0,0,0,1,0,0,0,3,0,0,0,5,0,1,0.0,Matches
43,Ona Batlle,DF,es Spain,24,1999,6.8,0,0,0,5,2,0,26,12,18,0,0,0,66,7,6,53.8,Matches
44,Angela Beard,DF,ph Philippines,25,1997,3.0,1,0,0,1,2,0,8,2,3,0,0,0,16,2,6,25.0,Matches
45,Beatriz,"FW,MF",br Brazil,29,1993,1.3,0,0,0,1,2,0,1,0,3,0,0,0,5,4,2,66.7,Matches
46,Chiara Beccari,FW,it Italy,18,2004,2.7,0,0,0,1,7,0,1,2,0,1,0,0,7,9,7,56.3,Matches
47,Vicki Bècho,"MF,FW",fr France,19,2003,2.5,0,0,0,2,4,0,15,1,6,0,0,0,13,3,6,33.3,Matches
48,Lorena Bedoya,MF,co Colombia,25,1997,4.9,1,0,0,4,5,0,2,5,13,0,0,0,52,13,13,50.0,Matches
49,Lineth Beerensteyn,FW,nl Netherlands,26,1996,3.3,0,0,0,2,6,3,2,0,0,0,0,0,9,6,9,40.0,Matches
50,Margaret Belemu,DF,zm Zambia,26,1997,3.0,0,0,0,1,3,0,4,3,4,0,0,0,37,2,2,50.0,Matches
